world_size,frequency,model,t_epoch
8,1,resnet101,1067385.5625
8,1,resnet50,718253.0
8,1,resnext101_32x8d,2351549.75
8,1,wide_resnet50_2,1081082.625
8,2,resnet101,1036911.375
8,2,resnet50,655587.3125
8,2,resnext101_32x8d,2316949.0
8,2,wide_resnet50_2,1049730.125
8,4,resnet101,1017020.96875
8,4,resnet50,694924.6875
8,4,resnext101_32x8d,2299734.75
8,4,wide_resnet50_2,1035272.8125
8,8,resnet101,1009120.75
8,8,resnet50,632950.125
8,8,resnext101_32x8d,2289280.25
8,8,wide_resnet50_2,1026346.1875
8,16,resnet101,998828.5625
8,16,resnet50,683379.28125
8,16,resnext101_32x8d,2284602.5
8,16,wide_resnet50_2,1023223.1875
8,64,resnet101,992803.90625
8,64,resnet50,677692.15625
8,64,resnext101_32x8d,2286032.5
8,64,wide_resnet50_2,1087589.5
8,256,resnet101,990900.4375
8,256,resnet50,668180.53125
8,256,resnext101_32x8d,2290306.5
8,256,wide_resnet50_2,1065348.625
8,1024,resnet101,986545.6875
8,1024,resnet50,629630.03125
8,1024,resnext101_32x8d,2294502.0
8,1024,wide_resnet50_2,1046985.125
16,1,resnet101,982698.0
16,1,resnet50,607554.5625
16,1,resnext101_32x8d,1952659.75
16,1,wide_resnet50_2,1246829.125
16,2,resnet101,739811.9375
16,2,resnet50,471097.03125
16,2,resnext101_32x8d,1554634.875
16,2,wide_resnet50_2,884540.5625
16,4,resnet101,624931.875
16,4,resnet50,392885.0625
16,4,resnext101_32x8d,1358713.25
16,4,wide_resnet50_2,687561.25
16,8,resnet101,560721.6875
16,8,resnet50,356159.3125
16,8,resnext101_32x8d,1260536.75
16,8,wide_resnet50_2,595364.5
16,16,resnet101,531431.25
16,16,resnet50,333254.875
16,16,resnext101_32x8d,1208164.0
16,16,wide_resnet50_2,548454.6875
16,64,resnet101,507095.21875
16,64,resnet50,316153.34375
16,64,resnext101_32x8d,1153554.625
16,64,wide_resnet50_2,514425.65625
16,256,resnet101,498677.90625
16,256,resnet50,311583.875
16,256,resnext101_32x8d,1142640.875
16,256,wide_resnet50_2,506478.21875
16,1024,resnet101,494489.71875
16,1024,resnet50,310204.5625
16,1024,resnext101_32x8d,1136810.75
16,1024,wide_resnet50_2,502420.53125
32,1,resnet101,645889.15625
32,1,resnet50,385174.671875
32,1,resnext101_32x8d,1308646.75
32,1,wide_resnet50_2,837026.75
32,2,resnet101,443488.8125
32,2,resnet50,275246.71875
32,2,resnext101_32x8d,940963.8125
32,2,wide_resnet50_2,547090.0625
32,4,resnet101,352414.75
32,4,resnet50,218417.8828125
32,4,resnext101_32x8d,760765.25
32,4,wide_resnet50_2,404273.9375
32,8,resnet101,305466.65625
32,8,resnet50,192074.8125
32,8,resnext101_32x8d,666574.9375
32,8,wide_resnet50_2,328773.28125
32,16,resnet101,284620.59375
32,16,resnet50,175456.2890625
32,16,resnext101_32x8d,619737.75
32,16,wide_resnet50_2,295861.40625
32,64,resnet101,262489.109375
32,64,resnet50,161940.4140625
32,64,resnext101_32x8d,586356.3125
32,64,wide_resnet50_2,266299.71875
32,256,resnet101,257462.78125
32,256,resnet50,158252.1953125
32,256,resnext101_32x8d,576293.8125
32,256,wide_resnet50_2,258909.921875
32,1024,resnet101,253094.1640625
32,1024,resnet50,156007.9375
32,1024,resnext101_32x8d,574004.6875
32,1024,wide_resnet50_2,257342.78125
64,1,resnet101,316428.8125
64,1,resnet50,269967.7421875
64,1,resnext101_32x8d,668380.8125
64,1,wide_resnet50_2,421931.53125
64,2,resnet101,221691.8984375
64,2,resnet50,217589.109375
64,2,resnext101_32x8d,480223.4375
64,2,wide_resnet50_2,273176.96875
64,4,resnet101,177267.59375
64,4,resnet50,190025.19921875
64,4,resnext101_32x8d,386829.03125
64,4,wide_resnet50_2,200003.65625
64,8,resnet101,152048.3359375
64,8,resnet50,175903.96484375
64,8,resnext101_32x8d,339980.40625
64,8,wide_resnet50_2,164162.109375
64,16,resnet101,142079.53125
64,16,resnet50,170264.5546875
64,16,resnext101_32x8d,315927.21875
64,16,wide_resnet50_2,145184.125
64,64,resnet101,133877.625
64,64,resnet50,161918.81640625
64,64,resnext101_32x8d,297741.09375
64,64,wide_resnet50_2,131198.171875
64,256,resnet101,126693.9140625
64,256,resnet50,133691.66015625
64,256,resnext101_32x8d,290565.375
64,256,wide_resnet50_2,126881.421875
64,1024,resnet101,122961.8984375
64,1024,resnet50,76447.41015625
64,1024,resnext101_32x8d,284896.625
64,1024,wide_resnet50_2,123185.265625
128,1,resnet101,177928.671875
128,1,resnet50,113507.2734375
128,2,resnet101,124906.3359375
128,2,resnet50,75139.703125
128,4,resnet101,107141.95703125
128,4,resnet50,70177.734375
128,8,resnet101,91585.5625
128,8,resnet50,52944.85546875
128,16,resnet101,88103.734375
128,16,resnet50,61793.0625
128,64,resnet101,79098.08984375
128,64,resnet50,56206.53515625
128,256,resnet101,79519.1015625
128,256,resnet50,52010.177734375
128,1024,resnet101,60475.96875
128,1024,resnet50,38059.486328125
256,1,resnet101,152114.0
256,1,resnet50,92829.78125
256,2,resnet101,124663.8828125
256,2,resnet50,76384.21875
256,4,resnet101,114830.796875
256,4,resnet50,69196.4375
256,8,resnet101,106286.6875
256,8,resnet50,65645.0390625
256,16,resnet101,101384.109375
256,16,resnet50,61502.46484375
256,64,resnet101,85876.8125
256,64,resnet50,53355.99609375
256,256,resnet101,44909.6640625
256,256,resnet50,30849.36328125
256,1024,resnet101,30347.712890625
256,1024,resnet50,19320.646484375
